VIN,MODEL,COLOR,MAKE,YEAR
WAUEH64B61N727500,Quest,Khaki,Nissan,2002
1C6RD6GP7CS675720,Beretta,Violet,Chevrolet,1996
WAUHGAFC5FN897234,Civic,Yellow,Honda,2000
4A4AP3AU5DE804850,Celica,Goldenrod,Toyota,1996
WAUBH64B41N574280,Challenger,Turquoise,Mitsubishi,2003
WAUJT58E44A967801,Grand Am,Khaki,Pontiac,1999
WAUGL78E88A134594,Miata MX-5,Green,Mazda,1992
WAUTFAFH7AN067520,Sentra,Orange,Nissan,2003
WA1LMAFE2DD558371,Corolla,Mauv,Toyota,2007
WAURGAFD5DN902653,Z3,Yellow,BMW,1999
5UXFE43527L458060,Achieva,Goldenrod,Oldsmobile,1998
1N4AL2AP0BC002115,Grand Prix,Fuscia,Pontiac,1999
4USBU33588L134670,545,Crimson,BMW,2004
3N1BC1AP4BL770891,RL,Mauv,Acura,2005
SCBBR9ZA2CC921043,F250,Fuscia,Ford,2005
4A4JM2AS0AE044873,Murciélago,Yellow,Lamborghini,2010
WBA4C9C5XFD894530,Sprinter 3500,Pink,Mercedes-Benz,2012
JTDJTUD33ED084368,Outback,Red,Subaru,2010
SCBGU3ZA7DC265862,FJ Cruiser,Fuscia,Toyota,2012
WA1UFAFL7FA272856,H3,Puce,Hummer,2006
WAUBF48H78K819240,LeSabre,Goldenrod,Buick,1988
5FPYK1F56EB331476,B-Series,Pink,Mazda,1996
WVWGU7AN2CE993966,Sunbird,Puce,Pontiac,1989
2C4RDGBG8ER932572,Capri,Indigo,Mercury,1993
WBAPH77529N199339,Monterey,Teal,Mercury,2004
WAULFAFH5AN798334,Sable,Puce,Mercury,2000
JHMZF1C45BS340356,Justy,Teal,Subaru,1993
5J8TB2H5XCA527837,Z8,Purple,BMW,2002
5FPYK1F53EB486213,Boxster,Puce,Porsche,2000
5TFBW5F14DX586932,Silverado 2500,Maroon,Chevrolet,2010
JN8AZ2KR4BT101100,Protege,Crimson,Mazda,1998
WAUEF98E28A803176,Leone,Fuscia,Subaru,1987
WBAYA8C51DC559208,F250,Yellow,Ford,1998
19UUA66207A923756,Tacoma Xtra,Aquamarine,Toyota,2003
WAUXF98K89A270251,TSX,Green,Acura,2007
WP0CB2A84FS741935,S70,Turquoise,Volvo,1999
JN1AV7AR5FM857415,Lucerne,Aquamarine,Buick,2009
3FA6P0D95DR761357,X3,Teal,BMW,2012
WAUGN94F77N268587,Town & Country,Crimson,Chrysler,2008
3GYFNDE35ES678792,A8,Puce,Audi,2011
1G6DP567450773322,SL-Class,Red,Mercedes-Benz,2000
4T1BD1FK2EU898365,LeBaron,Orange,Chrysler,1993
